Job_Role,Skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Cloud Computing"
Backend Developer,"Java, Python, SQL, APIs, REST, Django, Node.js"
Frontend Developer,"HTML, CSS, JavaScript, React, UI Design, Figma, TypeScript"
Cloud Architect,"AWS, Azure, Cloud Computing, Networking, Kubernetes, Automation, Security"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, Data Structures, Algorithms"
Data Analyst,"SQL, Excel, Data Analysis, Python, Tableau, Statistics, Power BI"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Python"
Sys Admin,"Linux, Networking, Automation, Bash, Security, Cloud Computing"
Cybersecurity Analyst,"Security, Networking, Linux, Python, Risk Assessment, Firewalls"
Database Administrator,"SQL, Database Design, Backup Recovery, Performance Tuning, Security"
Mobile App Developer,"Java, Kotlin, Swift, Mobile UI, APIs, Android, iOS"
